year,city,country,avg_temp
1897,Delhi,India,25.39
1898,Delhi,India,25.55
1899,Delhi,India,25.86
1900,Delhi,India,25.56
1901,Delhi,India,25.49
1902,Delhi,India,25.66
1903,Delhi,India,25.14
1904,Delhi,India,25.07
1905,Delhi,India,24.75
1906,Delhi,India,25.17
1907,Delhi,India,25.02
1908,Delhi,India,25.14
1909,Delhi,India,24.75
1910,Delhi,India,24.81
1911,Delhi,India,25.36
1912,Delhi,India,25.25
1913,Delhi,India,24.94
1914,Delhi,India,25.12
1915,Delhi,India,25.73
1916,Delhi,India,25.07
1917,Delhi,India,23.84
1918,Delhi,India,25.28
1919,Delhi,India,24.84
1920,Delhi,India,24.99
1921,Delhi,India,26.04
1922,Delhi,India,25.18
1923,Delhi,India,25.26
1924,Delhi,India,24.98
1925,Delhi,India,24.85
1926,Delhi,India,24.78
1927,Delhi,India,24.73
1928,Delhi,India,25.65
1929,Delhi,India,25.39
1930,Delhi,India,25.10
1931,Delhi,India,25.58
1932,Delhi,India,25.63
1933,Delhi,India,24.52
1934,Delhi,India,24.96
1935,Delhi,India,24.81
1936,Delhi,India,24.76
1937,Delhi,India,24.81
1938,Delhi,India,25.36
1939,Delhi,India,25.24
1940,Delhi,India,25.07
1941,Delhi,India,26.30
1942,Delhi,India,25.40
1943,Delhi,India,25.25
1944,Delhi,India,24.98
1945,Delhi,India,24.78
1946,Delhi,India,25.47
1947,Delhi,India,25.72
1948,Delhi,India,25.45
1949,Delhi,India,25.60
1950,Delhi,India,24.66
1951,Delhi,India,25.58
1952,Delhi,India,25.84
1953,Delhi,India,26.14
1954,Delhi,India,25.68
1955,Delhi,India,25.15
1956,Delhi,India,25.30
1957,Delhi,India,24.91
1958,Delhi,India,25.93
1959,Delhi,India,25.56
1960,Delhi,India,25.53
1961,Delhi,India,24.80
1962,Delhi,India,25.18
1963,Delhi,India,25.46
1964,Delhi,India,25.05
1965,Delhi,India,25.26
1966,Delhi,India,25.52
1967,Delhi,India,24.98
1968,Delhi,India,25.02
1969,Delhi,India,25.80
1970,Delhi,India,25.39
1971,Delhi,India,24.81
1972,Delhi,India,25.42
1973,Delhi,India,25.56
1974,Delhi,India,25.52
1975,Delhi,India,25.02
1976,Delhi,India,25.33
1977,Delhi,India,25.41
1978,Delhi,India,25.21
1979,Delhi,India,25.81
1980,Delhi,India,26.02
1981,Delhi,India,25.79
1982,Delhi,India,25.18
1983,Delhi,India,24.75
1984,Delhi,India,25.56
1985,Delhi,India,25.86
1986,Delhi,India,25.31
1987,Delhi,India,26.54
1988,Delhi,India,26.11
1989,Delhi,India,25.43
1990,Delhi,India,25.54
1991,Delhi,India,25.74
1992,Delhi,India,25.52
1993,Delhi,India,25.92
1994,Delhi,India,25.87
1995,Delhi,India,25.92
1996,Delhi,India,25.55
1997,Delhi,India,24.71
1998,Delhi,India,25.77
1999,Delhi,India,26.36
2000,Delhi,India,26.05
2001,Delhi,India,25.86
2002,Delhi,India,26.63
2003,Delhi,India,25.72
2004,Delhi,India,26.24
2005,Delhi,India,25.72
2006,Delhi,India,26.37
2007,Delhi,India,26.15
2008,Delhi,India,25.68
2009,Delhi,India,26.55
2010,Delhi,India,26.52
2011,Delhi,India,25.63
2012,Delhi,India,25.89
2013,Delhi,India,26.71
